Chapter,Section,Variable Name,Variable Id,Definition,Format,Other Metadata
GovTech Maturity,Cloud,Shared cloud platform,govtech-cloud-1,Is there a shared cloud platform available for all government entities?,0=Unknown/n.a;1=No;2=Only cloud strategy/policy (no platform yet);3=Yes (platform in use),
GovTech Maturity,Cloud,Cloud platform type,govtech-cloud-1.4,Type of cloud platform established,0=Unkown/n.a.;1=Public (Commercial);2=Private (Government);3=Hybrid,"Type of cloud > Public: Commercial operators; outside/in country; Private: Operated by government entities; on-premise, 3= Hybrid (combination of public & private)"
GovTech Maturity,Cloud,Hosting policy,govtech-cloud-1.6,Government Cloud data hosting policy?,0=Unknown/n.a;1=No policy / Unkown/n.a.;2=Keeping data inside the country;3=Keeping data outside the country;4=Hybrid (inside + outside),
GovTech Maturity,Cloud,Service provided,govtech-cloud-1.7,Cloud services provided,0=Unkown/n.a.;1=SaaS;2=PaaS;3=IaaS;4=XaaS,Cloud services > SaaS: Software as a Service; PaaS: Platform as a Service; IaaS: Infrastructure as a Service; XaaS: Anything as a Service
GovTech Maturity,Cloud,Single shared platform,govtech-cloud-1.8,Is there one shared Government Cloud platform or several?,0=Unkown/n.a.;1=Several cloud platforms (Central/Local levels);2=One shared cloud platform,
GovTech Maturity,Cloud,Transparency,govtech-cloud-1.9,"Monitoring & publishing of cloud usage, security, savings, etc.?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Interoperability,Interoperability framework exists,govtech-interop-3,Is there a government interoperability framework?,0=Unknown/n.a;1=No;2=In draft / Planned;3=Yes ,European Interoperability Framework (EIF) or similar country specific frameworks
GovTech Maturity,Interoperability,Interoperability status,govtech-interop-3.4,GIF operational status,0=Unkown/n.a.;1=Partially used;2=Extensively used,
GovTech Maturity,Interoperability,Data quality,govtech-interop-3.6,Is there a data quality framework?,0=Unknown/n.a;1=No;2=Yes,"Data quality framework for ensuring that Government data is standardised, not fragmented, and not duplicated."
GovTech Maturity,Interoperability,Uptime monitoring,govtech-interop-3.7,Is there a system to monitor the 'uptime' of government information systems?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Interoperability,Replacing legacy systems,govtech-interop-3.8,Is there guidance for replacing legacy government information systems?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Interoperability,Transparency,govtech-interop-3.9,"Monitoring & publishing of GIF usage, compliance, benefits?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Financial Management,IFMIS exists,govtech-financial-5,Is there an operational FMIS in place to support core PFM functions?,0=Unkown/n.a.;1=Implementation in progress;2=Yes (in use),
GovTech Maturity,Financial Management,IFMIS functionality,govtech-financial-5.6,FMIS functional capabilities,0=Unkown/n.a.;1=Treasury (execution);2=T + Budget (preparation);3=T + B + Other,
GovTech Maturity,Financial Management,Scope,govtech-financial-5.7,Scope of FMIS (coverage of budgets),0=Unkown/n.a.;1=Central gov;2=Central + Local gov,
GovTech Maturity,Financial Management,Software,govtech-financial-5.8,Type of FMIS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Financial Management,Chart of Accounts,govtech-financial-5.10,Is there a unified budget classification/chart of accounts?,0=Unknown/n.a;1=No;2=Yes (Central government only);3=Yes (Both central and sub-national government),"Unified budget classification (BC) / chart of accounts (CoA) to record/report all budget revenues, expenses and other transactions?"
GovTech Maturity,Financial Management,SDG monitoring,govtech-financial-5.11,Does FMIS capture expenses linked to the SDGs and other strategic goals?,0=Unknown/n.a;1=No;2=Partially;3=Extensively,"Budget expenses linked to the Sustainable Development Goals (SDGs) using gender, climate change and other tags."
GovTech Maturity,Financial Management,Programme monitoring,govtech-financial-5.12,Does FMIS capture non-financial data (KPIs) on programs/projects?,0=Unknown/n.a;1=No;2=Partially (Some of the KPIs for selected programs);3=Extensively (KPIs captured for most of the programs),Non-financial data or Key Performance Indicators (KPIs) related to the programs/projects/activities.
GovTech Maturity,Financial Management,Interoperability,govtech-financial-5.13,Does FMIS exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),"To select I-5.13= 2, I-4 should be 2 (GSB in use)"
GovTech Maturity,Financial Management,Governance,govtech-financial-5.14,"Governance of FMIS operations (compliance, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Treasury Single Account,Automated payments,govtech-treasury-6,Is there a TSA supported by FMIS to automate payments and bank reconciliation?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Treasury Single Account,Scope,govtech-treasury-6.5,Scope of TSA operations,0=Unkown/n.a.;1=Partially used by the MDAs;2=Extensively used by all MDAs,"MDAs: Ministries, Departments, Agencies"
GovTech Maturity,Treasury Single Account,Payment system,govtech-treasury-6.6,Type of electronic payment systems in place,0=Unkown/n.a.;1=RTGS (Real-Time Gross Settlement);2=FPS / ACH (Fast Payment System / Automated Clearinghouse System);3=Both RTGS & FPS/ACH,"RTGS: Real Time Gross Settlements, ACH: Automated Clearing House"
GovTech Maturity,Treasury Single Account,Central Bank interface,govtech-treasury-6.7,Is there a TSA interface linking FMIS with the Central Bank systems?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),"To select I-6.7= 2, I-4 should be 2 (GSB in use)"
GovTech Maturity,Treasury Single Account,Governance,govtech-treasury-6.8,"Governance of TSA operations (compliance, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Tax Management,System exists,govtech-taxmanage-7,Is there a Tax Management Information System in place?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Tax Management,Software,govtech-taxmanage-7.6,Type of TMIS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Tax Management,Interoperability,govtech-taxmanage-7.7,Does TMIS exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),"To select I-7.7= 2, I-4 should be 2 (GSB in use)"
GovTech Maturity,Tax Management,Governance,govtech-taxmanage-7.8,"Governance of TMIS operations (compliance, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Customs Management,System exists,govtech-customs-8,Is there a Customs Management Information System in place?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Customs Management,Software,govtech-customs-8.6,Type of CMIS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Customs Management,Customs-Tax interoperability,govtech-customs-8.7,Customs and Tax administrations merged?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Customs Management,Interoperability,govtech-customs-8.8,Does CMIS exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),"To select I-8.8= 2, I-4 should be 2 (GSB in use)"
GovTech Maturity,Customs Management,Governance,govtech-customs-8.9,"Governance of CMIS operations (compliance, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,HR Management,System exists,govtech-hr-9,Is there a Human Resources Management Information System with self-service portal?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,HR Management,Software,govtech-hr-9.4,Type of HRMIS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,HR Management,Portal,govtech-hr-9.6,Is there a HRMIS self-service portal for employees and managers?,0=Unknown/n.a;1=No;2=Yes (but there are still manual processes/paperwork);3=Yes (most of the services are online/digitized),
GovTech Maturity,HR Management,Interoperability,govtech-hr-9.7,Does HRMIS exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),"To select I-9.7= 2, I-4 should be 2 (GSB in use)"
GovTech Maturity,HR Management,Uses national Id,govtech-hr-9.8,Does HRMIS use national ID as primary or secondary identifier?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,HR Management,Governance,govtech-hr-9.9,"Governance of HRMIS operations (registers, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Payroll,System exists,govtech-payroll-10,Is there a Payroll System (MIS) linked with HRMIS?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Payroll,Software,govtech-payroll-10.4,Type of Payroll System software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Payroll,Governance,govtech-payroll-10.6,"Governance of Payroll System operations (registers, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Social Insurance,System exists,govtech-socialinsure-11,Is there a Social Insurance system (non-health) providing pensions (including public sector) and other SI programs?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),"Any public sector agency that operates a social insurance program(s) (non-health insurance) - pensions (including public sector), other social insurance and/or social assistance - where such program(s), individually or collectively, cover at least 5 percent of the population (measured by either number of beneficiaries and/or number of the insured members). If country does not have an agency that covers 5 percent of the population, then such an agency with the highest coverage of such program(s)."
GovTech Maturity,Social Insurance,Status,govtech-socialinsure-11.7,Status of public sector SI / Pension MIS platform,0=Unkown/n.a.;1=Separate SI / Pension MIS for public employees;2=Primary pension MIS is used for public employees as well,
GovTech Maturity,Social Insurance,Platform type,govtech-socialinsure-11.8,Type of primary SI / Pension MIS platform,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Social Insurance,Interoperability,govtech-socialinsure-11.9,Is primary SI / Pension MIS exchanging data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),"To select I-11.9= 2, I-4 should be 2 (GSB in use)"
GovTech Maturity,Social Insurance,Uses national id,govtech-socialinsure-11.1,Does the primary SI / Pension MIS use national ID as primary or secondary identifier?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Social Insurance,Uses national id,govtech-socialinsure-11.1,Are all SI / Pension beneficiary records fully digitized?,0=Unknown/n.a;1=No;2=Partially digitized;3=Fully digitized,
GovTech Maturity,Social Insurance,Uses national id,govtech-socialinsure-11.1,Are all active insured public employee records fully digitized?,0=Unknown/n.a;1=No;2=Partially digitized;3=Fully digitized,
GovTech Maturity,Social Insurance,Uses national id,govtech-socialinsure-11.1,Can a contribution report and payment be submitted online?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,Social Insurance,Uses national id,govtech-socialinsure-11.1,"Governance of SI / Pension MIS operations (registers, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,e-Procurement,System exists,govtech-procure-12,Is there an e-Procurement portal?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,e-Procurement,Capabilities,govtech-procure-12.4,e-Procurement Portal capabilities,0=Unkown/n.a.;1=Tender notices + Contracts;2=Online Tendering + Contracts;3=OT + C + Interfaces with other systems,
GovTech Maturity,e-Procurement,Standards,govtech-procure-12.5,e-Procurement data published in line with OCDS?,0=Unknown/n.a;1=No;2=Yes,
GovTech Maturity,e-Procurement,Interoperability,govtech-procure-12.6,Does eProcurement Portal exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),
GovTech Maturity,e-Procurement,Governance,govtech-procure-12.8,"Governance of eProcurement operations (registers, security, audit trails, etc.)?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Debt Management,Debt system exists,govtech-debt-13,Is there a Debt Management System (DMS) in place? (foreign and domestic debt),0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Debt Management,Software,govtech-debt-13.4,Type of DMS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Debt Management,Investment system exists,govtech-debt-14,Is there a Public Investment Management System (PIMS) in place?,0=Unknown/n.a;1=No;2=Implementation in progress;3=Yes (in use),
GovTech Maturity,Debt Management,Software,govtech-debt-14.4,Type of PIMS software,0=Unkown/n.a.;1=Custom Software;2=Commercial/COTS Software;3=Hybrid (Custom + COTS),
GovTech Maturity,Debt Management,Interoperabiaity,govtech-debt-14.6,Does PIMS exchange data with other systems?,0=Unknown/n.a;1=No;2=Yes (via separate interfaces) 3=Yes (via Government Service Bus),
GovTech Maturity,Debt Management,Transparency,govtech-debt-14.7,"Publishing of PIMS project database, results?",0=Unknown/n.a;1=No;2=Yes (internal;not published); 3=Yes (public;published),
GovTech Maturity,Open Source,Policy  ,govtech-opensource-15,Is there a government Open Source Software policy/action plan for public sector?,0=Unknown/n.a;1=No;2=Yes (Advisory/R&D);3=Yes (Mandatory),
GovTech Maturity,Open Source,Governance,govtech-opensource-15.3,Is there an entity taking decisions on adopting/procuring an OSS solution?,0=Unkown/n.a.;1=Ministry level Chief Information Officer 2=Government CIO;3=Other,
GovTech Maturity,Open Source,Level of adoption,govtech-opensource-15.4,What is the level of adoption of OSS policy?,0=Unkown/n.a.;1=Partially adopted in several sectors;2=Extensively adopted,
GovTech Maturity,Open Source,Innovation  ,govtech-opensource-17,Does government have a national strategy on disruptive / innovative technologies?,0=Unknown/n.a;1=No;2=In draft / Planned;3=Yes,"Disruptive / innovative technology strategy with measurable targets (e.g., Artificial Intelligence, Blockchain)"
GovTech Maturity,Public Service Portal,Portal exists,govtech-serviceportal-19,"Is there an online public service portal? (also called ""One-Stop Shop"" or similar)",0=Unknown/n.a;1=No;2=Yes (Informational: Level 1 or 2);3=Yes (Transactional: Level 3 or 4),"Integrated online public service portals, also called ""One-Stop Shop"" or similar, provide access to all available services. UN Level 1 or 2 is mostly information"
GovTech Maturity,Public Service Portal,Citizen involvement,govtech-serviceportal-19.2,Are citizens / businesses involved in the design of e-Services (user-centric design)?,0=Unknown/n.a;1=No;2=Yes,
