Section,Variable Name,Variable,Definition,Format,Other Metadata,Data Collection Guidelines
System,AI/Analytics Capabilities,exchange-system-ai,"Is artificial intelligence integrated into the data exchange for data quality, fraud detection or predictive analytics",Categorical: 0=Unknown;  1=No;  2=Planned;  3=Piloting;  4 =Functional across at least 2 systems,"Specify AI use cases in the comments: fraud detection, eligibility prediction, service recommendation, data quality assurance, policy simulation","Search for AI strategies, digital transformation roadmaps section on analytics, smart government initiatives, mentions of machine learning in service delivery"
System,Operational Status,exchange-system-operational,Current operational status of the data exchange system,Categorical: 0=Unknown;  1=Not Established;  2=Planned;  3=Under Development;  4=Partially Operational;  5=Fully Operational,"Add name of system, url to comments. Also include in comments launch date if operational, expected launch if planned.","Review official government announcements, digital transformation roadmap timelines, progress reports from coordinating agencies, news from government portals"
Governance,Strategic Framework,exchange-gov-strategy,Whether a formal strategy or policy document exists specifically for government data exchange and interoperability,Categorical: 0=Unknown;  1=None;  2=Mentioned in Broader DPI/Digital Strategy;  3=Under Development;  4=Comprehensive Strategy Exists,"Include incomments document name, year published, planning horizon. Note if includes phased implementation approach","Search national digital transformation roadmaps, e-government strategies, DPI strategies, interoperability frameworks, whole-of-government ICT policies"
Governance,Implementation Roadmap,exchange-gov-roadmap,"Whether a detailed implementation roadmap with phases, milestones, and timelines exists for data exchange development",Categorical: 0=Unknown;  1=No;  2= Under development;  3 = Yes,"Note in comments if roadmap is public, planning horizon (e.g., 2025-2030), number of phases. Include reference to key milestones","Review digital transformation roadmaps, implementation plans, project documents from coordinating ministries, Operation Vulindlela-type reform programs"
Functionality,Digital ID Integration,exchange-func-digitalid,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search digital identity strategies, authentication frameworks, Digital ID system documentation, service delivery platforms, identity verification protocols"
Functionality,Civil Registration & Vital Statistics Integration,exchange-func-crvs,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Review civil registration modernization strategies, Home Affairs digital transformation plans, vital statistics system assessments, service integration reports"
Functionality,Digital Payments Integration,exchange-func-payments,"Integration with national payment systems for government-to-person (G2P), government-to-business (G2B) transactions via data exchange",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search digital payments strategies, G2P payment system documentation, financial inclusion frameworks, payment ecosystem modernization programs"
Functionality,Tax & Revenue Integration,exchange-func-revenue,Integration of tax administration and revenue collection systems data into the exchange platform,Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Review tax administration modernization programs, revenue authority strategic plans, taxpayer services digitization initiatives"
Functionality,Electoral Register Integration,exchange-func-electoral,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search electoral commission strategic plans, voter registration system documentation, election management body reports, data sharing agreements"
Functionality,Passport & Immigration Integration,exchange-func-passport,Integration of passport issuance and immigration control data into the exchange platform,Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Review immigration authority digital strategies, border management systems, passport issuance modernization programs"
Functionality,Driver Licensing Integration,exchange-func-licensing,Integration of driver's license registration and traffic offence data,Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search transport department digital strategies, licensing authority modernization plans, road traffic management systems"
Functionality,Health System Integration,exchange-func-health,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Review health sector digital transformation strategies, eHealth frameworks, health information exchange initiatives, universal health coverage digitization"
Functionality,Education System Integration,exchange-func-education,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search education management information systems, digital education strategies, qualification verification frameworks, student aid digitization programs"
Functionality,Social Protection Integration,exchange-func-socialprotection,"Integration of social assistance programs, grant registries, beneficiary management systems",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Review social protection strategies, SASSA-type agency plans, social registry frameworks, adaptive social protection programs, shock-responsive systems"
Functionality,Agriculture System Integration,exchange-func-agriculture,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search agricultural digitization strategies, farmer support program documentation, land administration systems, agri-tech initiatives"
Functionality,Justice System Integration,exchange-func-justice,"Integration of court records, case management systems, correctional services data, legal aid information",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Review justice sector ICT strategies, court digitization programs, case management system modernization, legal information systems"
Functionality,National Planning & Statistics Integration,exchange-func-planning,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search national statistics strategies, census digitization, secure data facility documentation, statistical business registers, data for development initiatives"
Functionality,Employment Services Integration,exchange-func-employment,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Review labor department digital strategies, employment services modernization, unemployment insurance system documentation, youth employment platforms"
Functionality,Business Registration & Licensing Integration,exchange-func-business,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",Categorical: 0=Unknown;  1=Not integrated;  2=Planned;  3=Under development;  4=Partially integrated;  5=Fully Integrated,Provide details in Comments,"Search companies registry digitization, business environment reform programs, e-licensing platforms, Doing Business reform initiatives"
Uptake,Sub-National Participation,exchange-uptake-subnational,Extent to which provincial/state and local governments participate in the data exchange,Categorical: 0=Unknown;  1=National level only;  2=Planned;  3=Under development;  4=Partial Participation;  5=Full Participation,Provide details in Comments,"Review intergovernmental relations frameworks, sub-national digitization strategies, local government ICT capacity assessments"
Inclusivity,Universal Accessibility,exchange-incl-accessibility,"Extent to which the data exchange enables services accessible to all population groups including persons with disabilities, elderly, low literacy",Categorical: 0=Unknown;  1=Limited accessibility;  2=Partial accessibility;  3=Accessibility improvements in progress;  4=Full accessibility,Provide details in Comments,"Review digital inclusion strategies, assistive digital policies, service design guidelines, disability inclusion frameworks, universal access commitments"
Inclusivity,Urban-Rural Digital Divide,exchange-incl-urbanrural,Whether data exchange infrastructure and services reach rural and remote areas or concentrate in urban centers,Categorical: 0=Unknown;  1=Primarily urban;  2=Partial rural coverage;  3=Equitable Urban=Rural Coverage,Provide details in Comments,"Search rural development strategies, connectivity initiatives (SA Connect equivalents), service point mapping data, geographic coverage assessments"
Credibility,Public Transparency,exchange-cred-transparency,"Level of public transparency regarding data exchange operations, governance, and data sharing agreements",Categorical: 0=Unknown;  1=None;  2=Low = Limited Disclosure;  3=Moderate = Annual Reports;  4=High = Public Dashboard & Reports,Provide details in Comments,"Review open government commitments, transparency portals, public API catalogs, open data initiatives, right to information disclosures"
Credibility,Data Sovereignty Provisions,exchange-cred-sovereignty,Provisions ensuring national control over government data and protecting against unauthorized foreign access,"Categorical: 0=Unknown; 1=No controls;  2=Limited controls;  3=Strong yet unenforced controls;  4=Strong, enforced controls","Details in comments. Include data localization requirements, foreign access restrictions, cloud service provider regulations","Search data localization laws, cloud policy frameworks, critical infrastructure protection, sovereignty considerations in digital strategies"
Governance,Enabling Legislation,exchange-gov-legislation-exists,"Whether primary laws, acts, or legal instruments exist that establish authority for cross-government data sharing and govern the data exchange system",Categorical: 0=Unknown; 1=No;  2= Under development;  3 = Yes,Include names of acts/regulations in comments,
